suivre;1;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois
envois;1;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois
suivre-envois;1;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois
calculez;0
tarif;0
calculez-tarif;0
calculez-tarif-envois;0
bureau;0
poste;3;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/test;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/particulier
bureau-poste;0
affranchir;0
colis;0
affranchir-colis;0
ligne;3;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/test;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/particulier
affranchir-colis-ligne;0
tarifs;0
courrier;0
tarifs-courrier;0
plan;0
site;0
plan-site;0
toutes;0
offres;0
toutes-offres;0
conseils;0
offres-conseils;0
engagements;0
clients;0
engagements-clients;0
questions;0
reponses;0
questions-reponses;0
conditions;0
generales;0
conditions-generales;0
vente;0
conditions-generales-vente;0
colissimo;0
tarifs-colis;0
creer;0
creer-site;0
internet;0
creer-site-internet;0
missions;0
missions-poste;0
mobile;0
missions-poste-mobile;0
mobiles;0
offres-mobiles;0
utiliser;0
outils;0
utiliser-outils;0
pratiques;0
utiliser-outils-pratiques;0
timbre;0
caeur;0
timbre-caeur;0
baccarat;0
timbre-caeur-baccarat;0
macartamoi;0
timbre-caeur-baccarat-macartamoi;0
montimbramoi;0
timbre-caeur-baccarat-macartamoi-montimbramoi;0
plein;0
timbre-caeur-baccarat-macartamoi-montimbramoi-plein;0
idees;0
timbre-caeur-baccarat-macartamoi-montimbramoi-plein-idees;0
saint;0
timbre-caeur-baccarat-macartamoi-montimbramoi-plein-idees-saint;0
valentin;0
timbre-caeur-baccarat-macartamoi-montimbramoi-plein-idees-saint-valentin;0
decouvrez;0
decouvrez-timbre;0
connecte;0
decouvrez-timbre-connecte;0
collection;0
decouvrez-timbre-connecte-collection;0
decouvrez-timbre-connecte-collection-timbre;0
raconte;0
decouvrez-timbre-connecte-collection-timbre-raconte;0
impression;0
impression-poste;0
relation;0
poste-relation;0
client;0
poste-relation-client;0
entreprises;0
poste-relation-client-entreprises;0
services;3;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/test;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/particulier
poste-relation-client-entreprises-services;0
lettre;0
recommandee;0
lettre-recommandee;0
electronique;0
lettre-recommandee-electronique;0
pack;0
demenagement;0
pack-demenagement;0
verte;0
lettre-verte;0
pret;0
poster;0
pret-poster;0
pret-poster-lettre;0
max;0
pret-poster-lettre-max;0
profiter;3;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/test;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/particulier
profiter-services;3;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/test;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/particulier
profiter-services-ligne;3;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/test;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/particulier
documents;0
outils-documents;0
trouvez;0
code;0
trouvez-code;0
postal;0
trouvez-code-postal;0
testez;0
adresses;0
testez-adresses;0
simulateur;0
calcul;0
simulateur-calcul;0
epargne;0
simulateur-calcul-epargne;0
prevoyance;0
simulateur-calcul-epargne-prevoyance;0
emprunt;0
simulateur-calcul-epargne-prevoyance-emprunt;0
immobilier;0
simulateur-calcul-epargne-prevoyance-emprunt-immobilier;0
utilisez;0
formulaire;0
utilisez-formulaire;0
demande;0
utilisez-formulaire-demande;0
raccordement;0
utilisez-formulaire-demande-raccordement;0
utilisez-formulaire-demande-raccordement-postal;0
post;3;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/test;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/particulier
alert;0
post-alert;0
pesez;0
pesez-timbre;0
widget;0
pesez-timbre-widget;0
pese;0
pesez-timbre-widget-pese;0
pesez-timbre-widget-pese-courrier;0
alerte;0
widget-alerte;0
mail;0
widget-alerte-mail;0
convertisseur;0
widget-convertisseur;0
devises;0
widget-convertisseur-devises;0
horloge;0
internationale;0
horloge-internationale;0
recherche;0
postale;0
recherche-postale;0
widget-courrier;0
envoyer;0
recevoir;0
envoyer-recevoir;0
envoyer-recevoir-courrier;0
boutique;0
boutique-timbre;0
montimbrenligne;0
prioritaire;0
lettre-prioritaire;0
lettre-prioritaire-ligne;0
reexpedition;0
garde;0
reexpedition-garde;0
reexpedition-garde-courrier;0
nouvelle;0
pack-nouvelle;0
adresse;0
pack-nouvelle-adresse;0
definitive;0
reexpedition-definitive;0
reexpedier;0
pret-reexpedier;0
temporaire;0
reexpedition-temporaire;0
garde-courrier;0
abonnement;0
mobilite;0
abonnement-mobilite;0
restante;0
poste-restante;0
envoyer-recevoir-colis;0
lettre-recommandee-ligne;0
prestige;0
pret-poster-prestige;0
beaux;0
timbres;0
beaux-timbres;0
boite;0
boite-postale;0
flexigo;0
boite-postale-flexigo;0
digiposte;0
digishoot;0
messagerie;0
laposte;3;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/Suivre-vos-envois;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/test;http://www.laposte.fr/Particulier/Profiter-de-nos-services-en-ligne/particulier
messagerie-laposte;0
lettre-ligne;0
identite;0
numerique;0
identite-numerique;0
vers;0
france;0
vers-france;0
affranchissement;0
standard;0
affranchissement-standard;0
valeur;0
declaree;0
valeur-declaree;0
courrier?onglet=&amp%3bpage=&idprod=0014182;0
tarifs-courrier?onglet=&amp%3bpage=&idprod=0014182;0
courrier?onglet=&amp%3bpage=&idprod=000445;0
tarifs-courrier?onglet=&amp%3bpage=&idprod=000445;0
widgets;0
applications;0
widgets-applications;0
export;0
suivi;0
export-suivi;0
secur;0
secur-export;0
consulter;0
consulter-tarifs;0
adresses2;0
testez-adresses2;0
actualites;0
nouvel;0
chinois;0
nouvel-chinois;0
honneur;0
nouvel-chinois-honneur;0
emission;0
nouvel-chinois-honneur-emission;0
nouvel-chinois-honneur-emission-timbres;0
annee;0
nouvel-chinois-honneur-emission-timbres-annee;0
cheval;0
nouvel-chinois-honneur-emission-timbres-annee-cheval;0
dynamisez;0
dynamisez-envois;0
grace;0
dynamisez-envois-grace;0
nouveau;0
dynamisez-envois-grace-nouveau;0
carnet;0
dynamisez-envois-grace-nouveau-carnet;0
dynamisez-envois-grace-nouveau-carnet-timbres;0
dynamique;0
dynamisez-envois-grace-nouveau-carnet-timbres-dynamique;0
participez;0
4eme;0
participez-4eme;0
edition;0
participez-4eme-edition;0
concours;0
participez-4eme-edition-concours;0
national;0
participez-4eme-edition-concours-national;0
participez-4eme-edition-concours-national-timbres;0
orthographe;0
participez-4eme-edition-concours-national-timbres-orthographe;0
bloc;0
nouveau-bloc;0
nouveau-bloc-timbres;0
